  44  76  24   3  86  27  94  10  18  27
  80  39  88  82  61   7   8  48  10  19
  53  83  35  67  72  90  75  20  82  62
   2  22   9  33  58  42  47 100  93  83
  63 100  60  44  23  13  16  52  93  61
  38  62  73  96  58  54  36  27  27  92
  98  25  28  68  84   5  73  10  15  82
   1  12   6  73  68  18  20  61  73  60
  58  29  97  39  48  73   1  37  30  76
  19   6   6  10  84  92   4  65  49  94
  58  54  79  27  29  79  41  43  43   0
  26   2  37  47  73  27  97  34   9  65
  62  36   4  39  46  80  70  43  77   5
  31  65  77   3  81  35   4   2  99  50
  31  84  62  46  48  21  51  20  54  36
  66  71  34  14  30  52   4  67  79  77
  62  34  79  54  43  30  34  74  63   5
  40  38   4   3   0  56  96  96  85  67
  24   5  82  24  83  48  55  65  89  77
  49  83  82  98  57  60  84  46  65  28
  64 100  66 100  62  68  36  12  67  24
  16  16  42  82  38  61  53  22  46   7
  57  64  25  45  37  32   7  53  27  63
  41  37  48  63  72  19  99  24  73  12
  97  41  56  42  51  22  25  18  51  20
  71  43  97  17  69  36  33  64   8  52
  28  17  76  53  59  72  68  94  42  74
  52  47  67  29  65  64  57   2  93  94
  88  74  77  78   4  11  25  56  14  65
  85   2  90  10   2   7  30  69  72  43
   5  69  77  30  54  23  72  83  13  47
  43  59  52   3  34  99  80   6  95   8
  69  12  45  77  50  61  68   2   3  51
  97  88  93  87  79  68  86  53  74  18
  72  71  33  11  93  63  68  42  40   4
  85  66  98  15  90  10  50  91  89  99
  70  55  34  28  98  24   1  26   9  59
  78  59  94  38  61  14  26  10  24  79
  69  91  30  90  58  52  25  38  79  42
  30  41  78  36   8  47   7  17  40  56
  92  46  78  49  97  91  59   1  26  98
  28  11  63  72  28  83  44  56  90  80
  42   9  24  22  22  10   9  11  91  43
  56  20  55  79  23  36  64  33  14  75
  72  41  55  42  84  55  32  97   7  50
  90  18   2  80  74  97  84  41  54  66
  34  96   7  25  99  69  24  72  96  39
   9  34  27  43   4   2  99  26  45  18
  30  75   5  28   2  53  41  41  11  98
  49  66  23  96  34  70  19  87  38  95
   6  92  81  88  69  85  84  83  28  71
  98  93  39  22  60  37  33  85  62 100
  86  98  68  67   2  33  82   6  61  97
  97   3  30  81  95  24  36  90  57  71
  45  32  13  43  60  16  10  65  69   5
  31  63  62  49  40  38  50  97  38  37
  70  52  40   8  37  58  23  40  16  57
  89  12  25  12  32  77  54  49  14  94
  44  31  91  76  63  13   3  60  39  97
  29  82  91  57  57  75  58  70  29  92
  98  64  65   4  18  19  22  58  14  21
  96  12  59  97  40  25  29  59  91  49
  79  10  48  52   1  69   6  34  16 100
   5  10   4  38  27  85  11   7  66  33
  35  91  77  97  96  70  60  10   0  75
  88  91  22  67  25  12  55  90  95  99
  69  74  52  50  23   9   1  65  55  71
  85  36   9  75  61  73  96   3  35  56
  68  61  30  45  23  78  14  40  75  29
  96  45  62  98  16  43  82   3  67  48
  65  27   3  14  12  73  97  61  35  49
  48  61  14  97  77  83   2  22   5  48
  50  82   8  34  15  57  48  70  88  51
  89   8  57  63  65  25   0  41  93  54
  47  25  48  66   1  48  26  58   0  23
  26  91  70  44  45  56  25   1  42  34
  85  53  49  96  31  83   2  10  52  67
   0  36  58  67  14  20  90  55  11  16
  54  19  18   2   1  76  57  31  81  87
  67  12   4  64  53  78  53  78  90  84
  27  62  93  66  86  31  20  37  74  95
  62  44  53  93  92  75  82  40  89  71
  44  51  90  26  46  20   7  21  33   6
  45  74  76  43  16  76  89  14  49  10
  24  16  50  83   5  40  51  72   2  97
   4  83  33   5  99   5  17  71  68  58
  26  38  61  19   2  63  49  29  10  62
  91  97  44  17  43  86  71  92  73  20
  95  52  57  87  21  38  77  66  12  80
  63  53  89  69  63  30   7  50  90  62
  92  36  13  48   5  12  34  88  92  58
  39  99  60  79  50  23  13  25  89  89
  60  89   9  59   7  88  26  59  21  26
  38  37  44   5  93  91  22  53  69  30
  99  86  79  92  23  55  29  84  17   2
  88  51  42  51  58  24  51  19  88  79
  99  87  61  50  45  70  14  16  56  39
  83  78  18  39  39  97  36   9  12  83
  43  55  52  90  12  90  47  97  95  75
  28  53  23  67  86  29   4  18   7  94
  53  74  58  92  85  16  33  37   9  37
  65  78  96  99  84   1  57  61  11  31
  49  25  78  47  78  35  31  26  67  82
  93  61  78  79  20  19 100  82  59  62
  47  23  60  35  19  27  77  51 100  72
   0  88  27   9  63  90  57  40  37  79
   1  51  47  51  95  75  44  94  20  10
  26   1   1  40  12  85  77   4  22  65
  31  90  13  83  30  66  13   8  44  33
   1  18  86  19  63  29  83  65  34  22
  99  63  41  25  78  32   5  34   7  82
  68  77  41  39  37  59  43   9  15  62
  82  79  29  11  18  54  49   1  46  86
  21  75  45  58  11  55  67  46   9  34
  13  96  65   2  91  70  57  32   6  60
   4  54  30  55  66  96  28   8  80   7
  33  43  42  42  19  33  78  14  17  57
  75  26  14  81  30  90   1  42  13  84
  93  79  63  32  99  28  65  46  39  13
  48  59   4  38  93  56  75  12  17  53
   1  83  32   2  90  11  42  97   5  88
  94  16  50  65  79  70  99  83   2  97
   4  10  40   0  90  57  22  15  44  36
   1  31  74  98  11  59  28  10  26   4
  81  40  14  82  52   4  76  13  93   9
  14  44  83  16  21  10  70  19  44  99
   8  35  96  65  51  11   9  63   2  28
   5  25  10  72  20  79  62  96  39  63
  31  71  32  54  30  20  65  42  65  78
  74  26   6   0  65  59  53  51  42  59
  80  10  88  11  27  87  84  41  45  39
  26  39  19  55   1  30  15  70  51  28
  36  57   7  77  65  48  40  53  56  54
  85  21  97  65  77   8   5  95  66  19
  32  86  42  41  94  72  64  68  62  30
   2  35  93  83  91  39  13  73  54  20
  89  20  47   1  82  29  29  17   8  99
  74  78  57  87  45  88   9  19  58  57
   1  40  33  96  27  87  80  86  30  50
  57  90  93   6  32  54  92  30  27  59
  49  90  77  29  16  16   1  77  79  32
  62   9  53  20  86   7  48  15  93  67
   0  98  49   9  76  82  80  29  19  30
  16  29   8  79  44  16  77  88  66  85
  77  42  55  99  35  70  20  12  72  28
  25  76  92  99  99  44  65  52   3  16
   7  26  42  98  63   7   6  29  57  72
  71  71  63  84   6  84   6  55  21  43
  45  61  50   3  42  22  44  19  92  75
  91  49  45   6  13  80   6  48   7  59
  30  38  10  66  13  58  66  94  69  12
  28  19  88  84  19  77  25  17  14 100
  94  53  10  52  44  76  78  38  99  11
  15  93  45   3   2  36  49   9  39  16
  54  29   2  32  82   5  35  85  54  58
  62  59  28  50  98  25  51  25  68  90
  77  16  88  57  82  50  69  96  66  94
  52  91  78   7  64  47  69  85  14  96
  25   9  78  85  63  38  93  86  31  88
   4  55  93  32  49  92  26   4  17  26
   3  41  88  54  92  52  84  36  97  52
  59  12  66  82  91   4  18  94  29  46
  37  47  89  39  34  23  54  54  68  96
  27  21  64  39  99  57  50  92  19  41
  78  56  71  97  66  96  36  76  49  54
  66  85  36  50  80  75  66   0  67  86
  85  44  78  87  68  52   2  13  49  18
   2  34  35  78   0  11  70  66  36  53
  40  78  26  16   5  47  70  77  56  25
  35   9  71  99  40  14  95  45  85  63
 100   4  78 100  56  23  16  51  14  46
   7  37  79  76  39  78  82  54  38  21
  44  14  12   7  88   5  74  42  33  20
  98   0  58  32  77  70  58  67  98  48
  91  27  11   6  83  74  21   3  91  33
  53  23  11  60  73  32  24  74  47   1
  17  25  53  16  96   8  72  79  51  62
  10  94  97  26  10  27   3  61  49  88
  82  91  44  30  33  27  27  92  25   5
